ContractName,ProjectNVersion,IsFacadeOnProjectN,WindowsStoreVersion,IsFacadeOnWindowsStore,DesktopVersion,IsFacadeOnDesktop,ProjectKVersion,IsFacadeOnProjectK,TestNetVersion,IsFacadeOnTestNet,PhoneVersion,IsFacadeOnPhone
Microsoft.CSharp,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,4.0.0.0,N
Microsoft.VisualBasic,10.0.1.0,N,10.0.0.0,N,10.0.1.0,N,10.0.1.0,N,10.0.1.0,N,10.0.0.0,N
Microsoft.Win32.Primitives,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.AppContext,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.Collections.Concurrent,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,N,4.0.11.0,N
System.Collections,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Collections.NonGeneric,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Collections.Specialized,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.ComponentModel,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.ComponentModel.Annotations,4.1.0.0,N,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,-,-
System.ComponentModel.EventBasedAsync,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.ComponentModel.Primitives,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.ComponentModel.TypeConverter,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Data.Common,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Diagnostics.Contracts,4.0.1.0,Y,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,4.0.0.0,Y
System.Diagnostics.Debug,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Diagnostics.StackTrace,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.Diagnostics.Tools,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Diagnostics.Tracing,4.0.21.0,N,4.0.20.0,Y,4.0.21.0,Y,4.0.21.0,N,4.0.21.0,Y,4.0.10.0,Y
System.Dynamic.Runtime,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Globalization,4.0.11.0,Y,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.11.0,Y,4.0.10.0,Y
System.Globalization.Calendars,4.0.1.0,Y,-,-,4.0.1.0,Y,4.0.1.0,Y,4.0.1.0,Y,-,-
System.Globalization.Extensions,4.0.1.0,N,-,-,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.Compression,4.1.0.0,N,4.0.0.0,N,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,4.0.0.0,N
System.IO.Compression.ZipFile,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.IO.FileSystem.Primitives,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.FileSystem,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.IO.UnmanagedMemoryStream,4.0.1.0,N,-,-,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,-,-
System.Linq,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Linq.Expressions,4.0.11.0,N,4.0.10.0,Y,4.0.11.0,Y,4.0.11.0,N,4.0.11.0,Y,4.0.10.0,Y
System.Linq.Queryable,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,Y,4.0.0.0,Y
System.Linq.Parallel,4.0.1.0,N,4.0.0.0,Y,4.0.1.0,Y,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N
System.Net.Http,4.0.1.0,N,4.0.0.0,N,4.0.1.0,N,4.0.1.0,N,4.0.1.0,N,4.0.0.0,Y
System.Net.Http.Rtc,4.0.1.0,N,4.0.0.0,Y,-,-,-,-,-,-,-,-
System.Net.NetworkInformation,4.1.0.0,N,4.0.10.0,Y,4.1.0.0,N,4.1.0.0,N,4.1.0.0,N,4.0.0.0,Y
